,DATE,STREET1,STREET2,DISTRICT,LATITUDE,LONGITUDE,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,NEIGHBOURHOOD_158
14218,2018-01-01 10:00:00,BAYVIEW AVE,POTTERY RD,North York,43.692008,-79.361987,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,35 to 39,Fatal,Leaside-Bennington
14219,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,Malvern East
14220,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,Minimal,Malvern East
14221,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,Minimal,Malvern East
14222,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,Minimal,Malvern East
14223,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,30 to 34,Major,Malvern East
14224,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,75 to 79,Minimal,Malvern East
14225,2018-01-01 10:00:00,NEILSON RD,401 C W NEILSON RAMP RD,Scarborough,43.795016,-79.216319,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,20 to 24,Major,Malvern East
14226,2018-01-02 10:00:00,BRIMLEY RD,HEATHER RD,Scarborough,43.790507,-79.269923,No Control,Clear,"Dusk, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,Agincourt North
14227,2018-01-02 10:00:00,BRIMLEY RD,HEATHER RD,Scarborough,43.790507,-79.269923,No Control,Clear,"Dusk, artificial",Dry,Fatal,Pedestrian Collisions,Driver,60 to 64,,Agincourt North
14228,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,,Don Valley Village
14229,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,Minor,Don Valley Village
14230,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,45 to 49,,Don Valley Village
14231,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,Don Valley Village
14232,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Passenger,45 to 49,,Don Valley Village
14233,2018-01-02 10:00:00,FINCH AVE E,TRUDY RD,North York,43.790946,-79.362178,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Passenger,15 to 19,,Don Valley Village
14234,2018-01-05 10:00:00,SHEPPARD ST,ADELAIDE ST W,Toronto and East York,43.649542,-79.382091,Traffic Signal,Other,Daylight,Other,Fatal,Pedestrian Collisions,Driver,50 to 54,,Yonge-Bay Corridor
14235,2018-01-05 10:00:00,SHEPPARD ST,ADELAIDE ST W,Toronto and East York,43.649542,-79.382091,Traffic Signal,Other,Daylight,Other,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,Yonge-Bay Corridor
14236,2018-01-05 10:00:00,AVENUE RD,DUNBLAINE AVE,North York,43.73585,-79.420062,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,,Bedford Park-Nortown
14237,2018-01-05 10:00:00,AVENUE RD,DUNBLAINE AVE,North York,43.73585,-79.420062,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Major,Bedford Park-Nortown
14238,2018-01-05 10:00:00,AVENUE RD,DUNBLAINE AVE,North York,43.73585,-79.420062,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Minimal,Bedford Park-Nortown
14239,2018-01-05 10:00:00,SUNRISE AVE,BERMONDSEY RD,North York,43.718005,-79.308299,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Major,Victoria Village
